"ts26322,Toradora!,SHOW,Ryūji Takasu is a gentle high school student with a love for housework,,,,,,,,,,,"
"ts98340,Metallica: Some Kind of Monster,SHOW,This collection includes the acclaimed rock documentary about Metallica  plus a film checking in with the still-thriving group 10 years later.,2004,TV-MA,84,['western'],['US'  'CA'],1.0,tt6954486,,,0.6,"
"tm78189,The Contractor,MOVIE,Former CIA Operative  James Dial is coaxed back into action to kill a terrorist in London  but it all goes wrong and he is forced into hiding  where he meets and befriends a 12 year old girl.,2007,R,105,['thriller'  'european'],['BG'  'GB'  'US'],,,,,12.99,5.6"
"ts56549,Scare Tactics,SHOW,Scare Tactics is a hidden camera/comedy television show  produced by Kevin Healey and Scott Hallock. Its first two seasons aired from April 2003 to December 2004. After a hiatus  the show returned for a third season  beginning July 9  2008. The first season of the show was hosted by Shannen Doherty. Stephen Baldwin took her place in the middle of the second season. Since the beginning of the third season  the show has been hosted by Tracy Morgan. The fourth season began on October 6  2009.,,,,,,,,,,,"
"ts20398,Kath & Kim,SHOW,""Kath & Kim is a character-driven Australian television situation comedy series. The series was created by  and is written by Jane Turner and Gina Riley who play the title characters: a suburban mother and daughter with a dysfunctional relationship. The series main characters consist of Kath Day-Knight  a cheerful 50-year-old woman  her self-indulgent daughter Kim Craig  Kath's boyfriend and second husband  the metrosexual Kel Knight  as well as Kim's estranged husband Brett Craig and her lonely  overweight """"second best friend"""" Sharon Strzelecki. The series is set in the fictional suburb of Fountain Lakes in Melbourne. It is primarily filmed in Patterson Lakes."",,,,,,,,,,,"
"ts21421,Pocoyo,SHOW,Pocoyo is a Spanish pre-school animated television series created by Guillermo García Carsí  Luis Gallego and David Cantolla  and is a co-production between Spanish producer Zinkia Entertainment  Cosgrove-Hall Films and Granada International. Two series have been produced  each consisting of 52 seven-minute episodes. English actor and comedian Stephen Fry narrates the English-language version and José María del Río narrates the Castilian Spanish version.,,,,,,,,,,,"
"tm186461,No Direction Home: Bob Dylan,MOVIE,""A chronicle of Bob Dylan's strange evolution between 1961 and 1966 from folk singer to protest singer to """"voice of a generation"""" to rock star."",2005,G,208,['music'  'documentation'],['GB'  'US'  'JP'],,,,,8.676,7.7"
"tm83786,Like Stars on Earth,MOVIE,Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours  fish  dogs  and kites don't seem important to the adults  who are much more interested in things like homework  marks  and neatness. Ishaan cannot seem to get anything right in class,,,,,,,,,,,"
"ts20544,Ouran High School Host Club,SHOW,Ouran High is a school for the extremely wealthy or  in Haruhi's case  the extremely talented. But no amount of talent will help when Haruhi accidentally drops an eight million yen vase in a music room. The vase was the property of Ouran High School Host Club  a group of attractive young men who  for a fee  provide their time and affections for their lovesick clientele: the female students. Fascinated by this strange new specimen  a poor and clumsy commoner  they force Haruhi to work for them until the debt is repaid,,,,,,,,,,,"
"ts40702,The Ultimatum,SHOW,The Ultimatum is a Singaporean Chinese drama which was telecasted on Singapore's free-to-air channel  MediaCorp Channel 8. It made its debut on 27 May 2009 and ended on the date 7 July 2009. This drama serial consists of 30 episodes  and was screened on every weekday night at 9:00 pm.,,,,,,,,,,,"
